kmer frequency	Number of kmers int his category
1	32185140
2	2722169
3	630722
4	314760
5	211125
6	161537
7	133210
8	113652
9	99605
10	87123
11	79412
12	72763
13	68209
14	64464
15	60083
16	58880
17	55740
18	53708
19	53841
20	52155
21	50281
22	49438
23	47164
24	46732
25	44297
26	44372
27	42877
28	42642
29	41562
30	40996
31	39142
32	37853
33	37012
34	35390
35	35103
36	35153
37	34735
38	33778
39	33400
40	34108
41	33674
42	33260
43	33930
44	32769
45	33626
46	33740
47	32778
48	33473
49	33493
50	34347
51	34639
52	34717
53	35642
54	35909
55	35815
56	35969
57	36656
58	37913
59	40303
60	41326
61	40781
62	40451
63	41932
64	42585
65	42940
66	43103
67	42957
68	44019
69	45443
70	44864
71	45079
72	44231
73	45959
74	46279
75	46023
76	46411
77	47029
78	46733
79	46616
80	45944
81	45601
82	46271
83	45073
84	45325
85	45238
86	44993
87	44127
88	43142
89	42841
90	41936
91	41148
92	40777
93	40069
94	37770
95	36286
96	35270
97	34159
98	32104
99	31247
100	29643
101	28011
102	26186
103	25866
104	24696
105	23150
106	21201
107	20206
108	18583
109	17672
110	16755
111	15536
112	14191
113	13776
114	13032
115	12175
116	10619
117	9853
118	8899
119	8319
120	7016
121	6662
122	6294
123	5671
124	4958
125	4445
126	4047
127	3902
128	3620
129	3303
130	3204
131	2873
132	2573
133	2515
134	2267
135	2093
136	1977
137	1782
138	1559
139	1478
140	1386
141	1271
142	1177
143	1214
144	1092
145	1084
146	1102
147	1054
148	972
149	952
150	949
151	869
152	879
153	818
154	761
155	784
156	791
157	802
158	837
159	715
160	723
161	782
162	694
163	665
164	650
165	625
166	663
167	701
168	678
169	639
170	562
171	555
172	569
173	637
174	553
175	557
176	604
177	558
178	563
179	575
180	537
181	590
182	555
183	539
184	548
185	514
186	567
187	569
188	541
189	476
190	537
191	515
192	464
193	438
194	476
195	442
196	390
197	408
198	414
199	387
200	393
201	402
202	423
203	342
204	317
205	293
206	310
207	329
208	329
209	275
210	349
211	310
212	311
213	321
214	318
215	296
216	312
217	348
218	279
219	311
220	279
221	269
222	258
223	237
224	237
225	259
226	273
227	273
228	276
229	235
230	227
231	220
232	189
233	192
234	255
235	204
236	230
237	220
238	222
239	200
240	220
241	227
242	205
243	213
244	207
245	189
246	178
247	253
248	259
249	205
250	214
251	186
252	196
253	198
254	201
255	236
256	193
