kmer frequency	Number of kmers int his category
1	28467152
2	2185412
3	538167
4	301280
5	217558
6	179864
7	171253
8	195960
9	401520
10	1371351
11	781840
12	314787
13	124209
14	56327
15	32098
16	21191
17	16189
18	13208
19	13304
20	14615
21	12010
22	8779
23	6356
24	4966
25	3822
26	3266
27	2741
28	2282
29	2153
30	2016
31	1852
32	1649
33	1589
34	1347
35	1245
36	1092
37	967
38	931
39	878
40	730
41	702
42	681
43	637
44	590
45	581
46	505
47	509
48	456
49	460
50	394
51	389
52	419
53	367
54	340
55	314
56	261
57	282
58	232
59	256
60	254
61	214
62	222
63	215
64	219
65	184
66	186
67	182
68	171
69	165
70	175
71	155
72	176
73	157
74	155
75	141
76	154
77	124
78	121
79	141
80	122
81	106
82	114
83	110
84	109
85	107
86	95
87	95
88	88
89	101
90	68
91	114
92	78
93	92
94	82
95	78
96	87
97	57
98	75
99	74
100	81
101	72
102	65
103	58
104	73
105	62
106	76
107	58
108	67
109	72
110	45
111	58
112	79
113	53
114	53
115	44
116	49
117	53
118	44
119	49
120	36
121	36
122	47
123	47
124	42
125	42
126	49
127	36
128	45
129	57
130	47
131	48
132	29
133	45
134	44
135	32
136	32
137	38
138	34
139	38
140	37
141	26
142	27
143	29
144	24
145	33
146	35
147	26
148	37
149	34
150	31
151	23
152	28
153	30
154	16
155	27
156	18
157	24
158	25
159	24
160	15
161	17
162	30
163	15
164	17
165	18
166	16
167	24
168	24
169	23
170	18
171	11
172	13
173	15
174	15
175	15
176	14
177	17
178	18
179	12
180	17
181	14
182	16
183	15
184	13
185	19
186	12
187	19
188	6
189	15
190	5
191	18
192	7
193	5
194	13
195	21
196	10
197	12
198	8
199	21
200	11
201	11
202	10
203	11
204	9
205	6
206	6
207	7
208	12
209	13
210	9
211	4
212	7
213	7
214	14
215	10
216	9
217	2
218	5
219	5
220	10
221	3
222	6
223	7
224	6
225	7
226	6
227	5
228	3
229	6
230	6
231	5
232	7
233	10
234	7
235	4
236	5
237	3
238	11
239	6
240	6
241	7
242	7
243	7
244	3
245	6
246	1
247	5
248	5
249	3
250	4
251	5
252	12
253	6
254	11
255	6
256	4
257	3
258	1
259	3
260	5
261	4
262	4
263	3
264	4
265	5
266	3
267	3
268	6
269	2
270	6
271	4
272	4
273	1
274	6
275	5
276	2
277	5
278	5
279	1
280	3
281	1
282	2
284	4
285	5
286	4
287	4
288	1
289	1
290	3
291	4
292	1
293	4
294	5
295	2
296	2
297	2
298	3
299	2
300	3
301	1
302	3
303	1
304	2
305	4
306	4
307	1
308	2
309	4
310	1
311	2
312	2
313	2
314	4
316	2
317	1
318	3
319	1
320	4
321	1
322	1
323	3
324	5
325	1
326	5
327	4
328	1
329	4
330	1
331	2
332	1
334	2
335	3
337	1
338	1
339	3
340	2
342	1
343	2
346	2
347	1
348	5
349	3
350	3
351	1
352	2
353	1
354	2
355	3
356	2
357	1
358	1
359	1
360	1
361	1
362	2
364	2
365	2
366	1
367	1
368	1
369	3
370	4
371	1
373	1
374	4
376	3
380	2
381	1
382	2
383	1
386	2
387	2
388	1
390	3
391	2
392	2
396	1
397	1
398	3
399	3
401	3
403	1
404	1
406	2
407	3
408	1
410	2
411	3
412	1
413	2
415	1
416	1
417	3
419	2
421	2
422	2
427	1
428	1
429	2
430	2
431	2
434	2
436	1
438	2
439	2
440	1
443	1
446	1
447	1
448	1
452	1
455	2
457	1
458	1
460	3
462	1
464	2
465	1
467	2
468	2
469	1
471	1
474	1
476	1
478	1
479	1
482	2
483	1
484	2
485	1
487	1
490	2
491	1
492	1
498	1
501	1
503	1
505	3
508	1
512	1
513	1
514	1
515	1
516	2
521	1
523	1
524	1
526	1
530	2
532	1
533	1
534	2
535	1
540	1
545	1
549	1
550	1
551	2
553	1
555	1
556	1
557	1
558	1
559	1
561	1
562	1
565	1
567	1
569	1
576	1
577	2
579	1
582	1
589	1
592	3
594	1
597	2
600	1
602	1
603	1
604	1
605	1
606	1
610	2
612	1
613	1
616	1
618	1
620	2
625	1
631	1
632	1
635	1
636	1
638	1
639	1
652	1
657	3
659	2
660	2
663	1
665	1
668	1
670	1
673	2
674	1
676	1
677	1
678	1
681	1
687	1
689	1
690	1
691	2
692	1
693	1
695	1
696	1
697	1
698	1
700	1
704	2
713	1
715	1
717	1
721	1
728	1
738	1
739	1
745	1
749	1
750	2
753	1
756	3
757	2
759	1
761	1
766	1
767	2
775	1
777	1
779	1
793	1
797	1
801	2
803	2
806	1
807	1
813	1
814	1
820	1
827	1
834	1
846	1
852	1
856	2
880	1
884	1
887	1
890	2
891	1
892	1
894	2
895	1
898	1
911	1
919	1
927	1
936	1
939	1
945	1
947	1
952	1
956	1
961	1
965	1
968	1
974	1
975	1
977	2
981	1
983	1
993	1
1000	1
1003	1
1014	1
1015	1
1041	1
1047	1
1053	1
1061	1
1065	1
1089	1
1096	1
1114	1
1138	1
1157	1
1177	1
1182	1
1205	1
1223	1
1234	1
1240	1
1245	1
1254	1
1274	1
1311	1
1320	1
1342	1
1350	1
1363	1
1370	1
1375	1
1383	1
1386	1
1404	1
1411	1
1417	1
1421	1
1424	1
1429	1
1434	2
1448	1
1459	1
1484	1
1513	1
1517	1
1520	1
1526	1
1548	1
1560	1
1562	1
1595	1
1651	1
1659	1
1689	1
1698	1
1709	1
1718	1
1734	1
1738	1
2027	1
2167	1
2516	1
2788	1
2809	1
3092	1
3103	1
4100	1
4142	1
5640	1
7731	1
9171	1
15028	1
19311	1
37777	1
38250	1
44009	1
44284	1
